round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,0,250.60476581758422,80.0,78.0,44.04272801972063,48.562037797863596,100.0,98.0,80.69022185702548,86.6885784716516
0,1,257.6655518394649,80.0,78.0,45.819397993311036,53.84615384615385,100.0,100.0,78.76254180602007,85.20066889632108
0,2,186.45325779036827,54.0,52.0,38.45609065155807,41.9971671388102,98.0,90.0,68.83852691218131,73.08781869688386
0,3,230.75386779184248,74.0,82.0,31.434599156118143,43.319268635724335,96.0,98.0,64.9789029535865,82.13783403656821
0,4,205.5852442671984,70.0,64.0,37.188434695912264,34.39680957128614,96.0,90.0,70.7876370887338,72.58225324027916
1,0,251.50862777321282,82.0,76.0,43.46754313886606,50.04108463434675,100.0,98.0,81.51191454396056,86.77074774034512
1,1,261.505016722408,82.0,78.0,46.32107023411371,55.18394648829432,100.0,100.0,78.67892976588628,86.53846153846153
1,2,194.38243626062325,62.0,52.0,37.67705382436261,42.70538243626062,96.0,92.0,68.76770538243626,75.14164305949008
1,3,234.0196905766526,76.0,82.0,31.92686357243319,44.09282700421941,96.0,98.0,65.40084388185655,83.33333333333333
1,4,216.8813559322034,74.0,70.0,37.587238285144565,35.294117647058826,96.0,90.0,72.18344965104686,73.97806580259223
2,0,253.56285949055055,82.0,76.0,44.617912900575185,50.94494658997535,100.0,96.0,81.75842235004109,87.6746096959737
2,1,264.25752508361205,82.0,80.0,46.57190635451505,55.68561872909699,100.0,100.0,79.4314381270903,85.78595317725753
2,2,184.4702549575071,56.0,50.0,36.26062322946176,42.20963172804532,96.0,92.0,67.4929178470255,75.63739376770538
2,3,235.70745428973277,76.0,82.0,32.48945147679325,45.218002812939524,98.0,98.0,65.68213783403657,82.70042194092827
2,4,220.37686939182453,74.0,72.0,38.783649052841476,35.59322033898305,96.0,90.0,71.9840478564307,74.0777666999003
3,0,257.45275267050124,82.0,78.0,45.43960558751027,52.01314708299096,100.0,96.0,82.41577649958916,87.83894823336072
3,1,267.17725752508363,84.0,80.0,46.90635451505017,56.27090301003344,100.0,100.0,80.2675585284281,86.2876254180602
3,2,192.24079320113313,62.0,50.0,36.827195467422094,43.41359773371105,96.0,92.0,66.43059490084985,76.62889518413597
3,3,237.49648382559775,74.0,86.0,32.48945147679325,45.0070323488045,98.0,98.0,65.68213783403657,82.77074542897327
3,4,219.6729810568295,72.0,72.0,38.983050847457626,36.68993020937189,96.0,90.0,71.9840478564307,75.17447657028913
4,0,255.04190632703367,82.0,76.0,44.94658997534922,52.09531635168447,100.0,96.0,83.15529991783073,88.24979457682826
4,1,265.0100334448161,82.0,80.0,46.070234113712374,56.93979933110368,100.0,100.0,80.43478260869566,87.04013377926421
4,2,186.9830028328612,58.0,52.0,36.26062322946176,40.72237960339943,96.0,92.0,66.28895184135978,76.06232294617564
4,3,235.07454289732772,74.0,84.0,32.70042194092827,44.37412095639944,98.0,98.0,65.68213783403657,82.27848101265823
4,4,222.66999002991028,72.0,74.0,39.581256231306085,37.08873379860419,96.0,90.0,71.48554336989032,74.37686939182453
5,0,254.95973705834018,82.0,76.0,44.53574363188168,52.4239934264585,100.0,96.0,82.25143796220213,87.83894823336072
5,1,264.0066889632107,82.0,80.0,46.070234113712374,55.936454849498325,100.0,98.0,80.43478260869566,86.45484949832776
5,2,187.62039660056655,60.0,50.0,36.331444759206796,41.288951841359776,96.0,92.0,66.5014164305949,76.62889518413597
5,3,234.76230661040785,74.0,82.0,33.19268635724332,45.56962025316456,98.0,98.0,65.89310829817158,83.0520393811533
5,4,221.17447657028913,72.0,74.0,38.08574277168495,37.08873379860419,96.0,90.0,70.88733798604187,74.4765702891326
6,0,255.37058340180772,82.0,76.0,44.53574363188168,52.83483976992605,100.0,96.0,82.08709942481512,88.16762530813476
6,1,264.17391304347825,82.0,80.0,46.23745819397993,55.936454849498325,100.0,98.0,79.84949832775919,86.70568561872909
6,2,194.31161473087818,62.0,52.0,36.827195467422094,43.48441926345609,96.0,92.0,66.78470254957507,76.41643059490085
6,3,238.9732770745429,74.0,86.0,32.91139240506329,46.0618846694796,98.0,98.0,66.03375527426161,83.0520393811533
6,4,217.97806580259223,74.0,70.0,38.08574277168495,35.89232303090728,96.0,90.0,71.9840478564307,74.4765702891326
7,0,254.95973705834018,82.0,76.0,44.53574363188168,52.4239934264585,100.0,96.0,82.25143796220213,88.16762530813476
7,1,261.25418060200667,80.0,80.0,44.98327759197324,56.27090301003344,100.0,98.0,80.18394648829431,86.95652173913044
7,2,191.74504249291783,62.0,50.0,35.906515580736546,43.8385269121813,96.0,92.0,66.9971671388102,75.92067988668555
7,3,237.49648382559775,74.0,86.0,32.278481012658226,45.218002812939524,96.0,98.0,66.10407876230661,83.26300984528832
7,4,220.975074775673,74.0,72.0,38.6839481555334,36.29112662013958,96.0,90.0,72.28315054835494,73.97806580259223
8,0,254.63105998356616,82.0,76.0,43.960558751027115,52.67050123253903,100.0,96.0,82.16926869350863,88.41413311421529
8,1,261.25418060200667,80.0,80.0,45.23411371237458,56.020066889632105,100.0,98.0,79.59866220735786,86.95652173913044
8,2,194.52407932011332,62.0,52.0,35.977337110481585,44.54674220963173,96.0,92.0,67.06798866855524,76.41643059490085
8,3,238.41068917018282,74.0,86.0,32.9817158931083,45.42897327707454,98.0,98.0,65.9634317862166,82.41912798874824
8,4,218.37686939182453,72.0,72.0,38.08574277168495,36.29112662013958,96.0,90.0,71.88434695912264,74.17746759720838
9,0,254.3023829087921,82.0,76.0,43.87838948233361,52.4239934264585,100.0,96.0,82.16926869350863,89.07148726376336
9,1,262.66889632107024,82.0,80.0,44.48160535117057,56.187290969899664,100.0,98.0,79.0133779264214,86.78929765886288
9,2,193.60339943342777,62.0,52.0,35.48158640226629,44.12181303116147,96.0,92.0,66.92634560906515,75.28328611898017
9,3,237.9887482419128,74.0,86.0,32.278481012658226,45.71026722925457,98.0,98.0,65.33052039381154,83.33333333333333
9,4,216.37686939182453,74.0,68.0,38.384845463609174,35.99202392821535,96.0,90.0,71.5852442671984,74.37686939182453
10,0,253.56285949055052,82.0,76.0,43.303204601479045,52.259654889071484,100.0,96.0,82.16926869350863,88.33196384552177
10,1,261.33779264214047,80.0,80.0,44.89966555183946,56.438127090301,100.0,98.0,79.09698996655518,87.20735785953177
10,2,196.24079320113316,62.0,54.0,35.977337110481585,44.26345609065156,96.0,92.0,66.78470254957507,76.69971671388102
10,3,235.63713080168776,72.0,86.0,32.34880450070324,45.28832630098453,96.0,98.0,65.40084388185655,82.70042194092827
10,4,216.27716849451645,70.0,72.0,37.88634097706879,36.390827517447654,96.0,90.0,70.7876370887338,74.57627118644068
11,0,253.3985209531635,82.0,76.0,43.46754313886606,51.93097781429745,100.0,96.0,82.08709942481512,88.4963023829088
11,1,259.0869565217391,80.0,78.0,44.64882943143812,56.438127090301,100.0,98.0,78.92976588628763,87.04013377926421
11,2,196.09915014164307,62.0,54.0,36.04815864022663,44.05099150141643,96.0,92.0,66.78470254957507,76.69971671388102
11,3,238.2700421940928,74.0,86.0,32.9817158931083,45.28832630098453,96.0,98.0,65.82278481012658,82.77074542897327
11,4,217.47357926221335,72.0,70.0,37.986041874376866,37.48753738783649,96.0,90.0,70.98703888334995,74.67597208374876
12,0,253.0698438783895,82.0,76.0,43.549712407559575,51.52013147082991,100.0,96.0,82.00493015612162,88.41413311421529
12,1,259.67224080267556,80.0,78.0,45.1505016722408,56.52173913043478,100.0,98.0,79.0133779264214,87.20735785953177
12,2,196.1699716713881,62.0,54.0,35.906515580736546,44.26345609065156,96.0,92.0,67.13881019830028,76.20396600566572
12,3,238.0590717299578,74.0,86.0,33.26300984528832,44.79606188466948,96.0,98.0,65.26019690576652,82.41912798874824
12,4,218.37686939182453,72.0,72.0,37.986041874376866,36.390827517447654,96.0,90.0,70.68793619142572,74.67597208374876
13,0,253.97370583401806,80.0,78.0,43.46754313886606,52.506162695152014,100.0,96.0,81.75842235004109,88.33196384552177
13,1,256.58528428093643,78.0,78.0,44.56521739130435,56.020066889632105,100.0,98.0,78.59531772575251,86.78929765886288
13,2,198.09915014164307,64.0,54.0,35.977337110481585,44.12181303116147,94.0,90.0,67.06798866855524,76.98300283286119
13,3,238.41068917018282,74.0,86.0,32.84106891701828,45.56962025316456,96.0,98.0,65.82278481012658,83.0520393811533
13,4,218.07776669990028,72.0,72.0,37.587238285144565,36.49052841475573,96.0,90.0,71.1864406779661,75.37387836490528
14,0,256.4667214461791,82.0,78.0,43.7962202136401,52.67050123253903,100.0,96.0,81.26540673788003,88.33196384552177
14,1,259.1705685618729,78.0,80.0,44.56521739130435,56.60535117056856,100.0,98.0,78.51170568561874,86.87290969899665
14,2,192.82436260623228,60.0,54.0,35.69405099150141,43.13031161473088,96.0,90.0,66.92634560906515,76.06232294617564
14,3,238.41068917018282,74.0,86.0,32.9817158931083,45.42897327707454,96.0,98.0,66.10407876230661,82.70042194092827
14,4,218.97507477567297,72.0,72.0,37.48753738783649,37.48753738783649,96.0,90.0,70.88733798604187,74.77567298105683
15,0,252.08381265406737,82.0,76.0,42.56368118323747,51.52013147082991,100.0,96.0,81.75842235004109,88.16762530813476
15,1,259.75585284280936,78.0,80.0,44.7324414715719,57.02341137123746,100.0,98.0,78.59531772575251,87.29096989966555
15,2,196.89518413597733,64.0,54.0,35.552407932011334,43.342776203966004,96.0,92.0,66.43059490084985,76.62889518413597
15,3,238.34036568213781,74.0,86.0,33.12236286919831,45.218002812939524,96.0,98.0,67.0182841068917,82.9113924050633
15,4,217.97208374875373,72.0,70.0,38.2851445663011,37.68693918245264,96.0,90.0,71.38584247258225,76.07178464606181
16,0,253.15201314708298,82.0,76.0,43.22103533278554,51.93097781429745,100.0,96.0,81.34757600657355,88.24979457682826
16,1,259.25418060200667,78.0,80.0,44.23076923076923,57.02341137123746,100.0,98.0,78.67892976588628,87.29096989966555
16,2,196.39943342776206,64.0,54.0,35.26912181303116,43.13031161473088,96.0,90.0,66.28895184135978,75.21246458923513
16,3,237.63713080168776,74.0,86.0,32.70042194092827,44.936708860759495,96.0,98.0,66.17440225035162,82.9113924050633
16,4,215.47357926221335,70.0,70.0,37.48753738783649,37.986041874376866,96.0,90.0,70.18943170488535,75.47357926221336
17,0,255.0698438783895,82.0,78.0,43.13886606409203,51.93097781429745,100.0,96.0,81.75842235004109,88.08545603944125
17,1,259.0033444816054,78.0,80.0,44.063545150501675,56.93979933110368,100.0,98.0,78.76254180602007,87.123745819398
17,2,195.24929178470254,62.0,54.0,35.69405099150141,43.555240793201136,96.0,90.0,66.85552407932012,76.62889518413597
17,3,237.84810126582278,74.0,86.0,33.26300984528832,44.58509142053446,96.0,98.0,66.59634317862167,82.34880450070324
17,4,217.17447657028913,72.0,70.0,38.08574277168495,37.08873379860419,96.0,90.0,70.58823529411765,75.07477567298106
18,0,251.31635168447002,80.0,76.0,43.303204601479045,52.01314708299096,100.0,96.0,82.16926869350863,88.24979457682826
18,1,261.4214046822743,80.0,80.0,44.39799331103679,57.02341137123746,100.0,98.0,78.67892976588628,87.45819397993311
18,2,196.54107648725216,64.0,54.0,35.26912181303116,43.271954674220964,96.0,90.0,66.35977337110482,76.06232294617564
18,3,238.69198312236287,74.0,86.0,33.40365682137834,45.28832630098453,96.0,98.0,66.52601969057665,82.63009845288326
18,4,219.97208374875373,72.0,72.0,38.584247258225325,37.387836490528414,96.0,90.0,70.7876370887338,74.77567298105683
19,0,254.24815119145438,82.0,78.0,42.56368118323747,51.68447000821693,100.0,96.0,82.08709942481512,88.24979457682826
19,1,257.5886287625418,78.0,78.0,44.89966555183946,56.68896321070234,100.0,98.0,78.76254180602007,87.45819397993311
19,2,198.75354107648724,64.0,56.0,35.76487252124646,42.98866855524079,96.0,90.0,66.43059490084985,74.78753541076487
19,3,235.70745428973277,72.0,86.0,33.26300984528832,44.44444444444444,96.0,98.0,66.66666666666667,82.63009845288326
19,4,216.4765702891326,72.0,70.0,37.28813559322034,37.188434695912264,96.0,90.0,71.48554336989032,75.27417746759721
0,0,78.70665571076418,28.0,30.0,10.271158586688578,10.435497124075596,84.0,70.0,31.14215283483977,32.785538208709944
0,1,64.65217391304347,26.0,18.0,9.698996655518394,10.953177257525084,68.0,70.0,42.391304347826086,40.635451505016725
0,2,62.47025495750708,14.0,20.0,15.439093484419264,13.031161473087819,76.0,68.0,48.44192634560906,57.08215297450425
0,3,56.64416315049227,14.0,20.0,12.939521800281295,9.70464135021097,76.0,76.0,32.84106891701828,41.068917018284104
0,4,57.32402791625125,10.0,22.0,13.359920239282154,11.964107676969093,70.0,70.0,37.68693918245264,43.17048853439681
