round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,0,250.60476581758422,80.0,78.0,44.12489728841413,48.47986852917009,100.0,98.0,80.44371405094495,86.93508627773213
0,1,257.4147157190635,80.0,78.0,45.735785953177256,53.67892976588629,100.0,100.0,78.76254180602007,85.20066889632108
0,2,188.73654390934843,56.0,52.0,38.81019830028329,41.92634560906516,98.0,90.0,68.76770538243626,73.30028328611898
0,3,224.75386779184248,72.0,78.0,31.29395218002813,43.459915611814345,96.0,98.0,65.47116736990155,81.57524613220816
0,4,204.68793619142573,70.0,64.0,36.88933200398804,33.79860418743769,96.0,90.0,70.7876370887338,73.28015952143569
1,0,255.06984387838946,82.0,78.0,44.28923582580115,50.780608052588335,100.0,98.0,81.34757600657355,86.77074774034512
1,1,262.0066889632107,82.0,78.0,46.65551839464883,55.35117056856188,100.0,100.0,79.18060200668896,86.12040133779264
1,2,189.5155807365439,58.0,50.0,37.46458923512748,44.05099150141643,96.0,92.0,68.69688385269122,74.85835694050992
1,3,234.44163150492267,76.0,82.0,31.9971870604782,44.44444444444444,96.0,98.0,65.9634317862166,83.0520393811533
1,4,214.37686939182453,74.0,66.0,37.986041874376866,36.390827517447654,96.0,90.0,71.78464606181456,74.4765702891326
2,0,255.80936729663108,82.0,78.0,45.028759244042725,50.780608052588335,100.0,96.0,81.67625308134758,87.83894823336072
2,1,267.01003344481603,84.0,80.0,46.65551839464883,56.35451505016722,100.0,100.0,79.51505016722408,86.62207357859532
2,2,187.81586402266288,58.0,50.0,36.61473087818697,43.20113314447592,96.0,92.0,67.42209631728045,75.63739376770538
2,3,237.28551336146273,78.0,82.0,32.278481012658226,45.0070323488045,98.0,98.0,65.0492264416315,82.48945147679325
2,4,223.47357926221338,74.0,74.0,38.48454636091725,36.98903290129611,96.0,90.0,71.48554336989032,76.1714855433699
3,0,255.45275267050124,82.0,76.0,45.686113393590794,51.76663927691043,100.0,96.0,81.84059161873459,88.16762530813476
3,1,262.75919732441474,80.0,80.0,46.48829431438127,56.27090301003344,100.0,100.0,80.10033444816054,86.53846153846153
3,2,193.16147308781868,60.0,52.0,37.32294617563739,43.8385269121813,96.0,92.0,67.06798866855524,76.84135977337111
3,3,238.1997187060478,76.0,84.0,33.05203938115331,45.14767932489451,98.0,98.0,65.89310829817158,83.12236286919831
3,4,219.3678963110668,72.0,70.0,38.983050847457626,38.384845463609174,96.0,90.0,71.78464606181456,76.76969092721835
4,0,256.9597370583402,82.0,78.0,44.617912900575185,52.341824157765,100.0,96.0,82.25143796220213,88.33196384552177
4,1,265.09364548494983,82.0,80.0,46.40468227424749,56.68896321070234,100.0,100.0,80.35117056856187,86.62207357859532
4,2,190.24079320113316,58.0,52.0,36.685552407932015,43.555240793201136,96.0,92.0,66.9971671388102,75.63739376770538
4,3,236.41068917018282,76.0,82.0,33.05203938115331,45.358649789029535,98.0,98.0,65.47116736990155,83.19268635724332
4,4,225.66699900299105,72.0,76.0,39.581256231306085,38.08574277168495,96.0,90.0,70.48853439680957,76.9690927218345
5,0,255.0419063270337,82.0,76.0,44.53574363188168,52.506162695152014,100.0,96.0,82.16926869350863,88.4963023829088
5,1,264.5083612040134,82.0,80.0,45.5685618729097,56.93979933110368,100.0,98.0,80.43478260869566,86.78929765886288
5,2,191.60339943342774,60.0,52.0,36.331444759206796,43.271954674220964,96.0,92.0,66.78470254957507,76.77053824362606
5,3,235.1139240506329,76.0,80.0,33.19268635724332,45.92123769338959,96.0,98.0,65.61181434599156,82.77074542897327
5,4,225.86640079760718,72.0,76.0,38.88334995014955,38.983050847457626,96.0,90.0,71.38584247258225,76.86939182452642
6,0,256.4667214461791,82.0,78.0,44.37140509449466,52.09531635168447,100.0,96.0,82.25143796220213,88.00328677074774
6,1,262.67558528428094,82.0,78.0,45.735785953177256,56.93979933110368,100.0,98.0,80.76923076923077,86.53846153846153
6,2,196.3654390934844,60.0,54.0,37.39376770538244,44.97167138810198,96.0,92.0,67.42209631728045,76.69971671388102
6,3,237.56680731364276,76.0,84.0,32.559774964838255,45.0070323488045,94.0,98.0,64.48663853727145,83.33333333333333
6,4,224.06580259222335,74.0,72.0,39.581256231306085,38.48454636091725,96.0,90.0,71.08673978065802,76.1714855433699
7,0,256.7132292522597,82.0,78.0,44.7822514379622,51.93097781429745,100.0,96.0,81.84059161873459,87.92111750205423
7,1,262.8428093645485,82.0,78.0,45.48494983277592,57.357859531772576,100.0,98.0,81.18729096989966,86.45484949832776
7,2,198.22379603399435,62.0,54.0,36.61473087818697,45.609065155807365,96.0,92.0,67.56373937677054,77.26628895184136
7,3,238.69198312236284,76.0,84.0,33.05203938115331,45.639943741209564,94.0,98.0,64.55696202531645,83.26300984528832
7,4,224.26520438683949,72.0,74.0,38.983050847457626,39.28215353938185,96.0,90.0,71.28614157527417,76.86939182452642
8,0,256.87756778964666,82.0,78.0,45.028759244042725,51.848808545603944,100.0,96.0,82.08709942481512,88.33196384552177
8,1,264.17391304347825,82.0,80.0,45.5685618729097,56.60535117056856,100.0,98.0,81.10367892976589,86.53846153846153
8,2,194.8073654390935,60.0,54.0,37.25212464589235,43.555240793201136,96.0,92.0,67.84702549575071,76.91218130311614
8,3,238.83263009845288,76.0,84.0,32.84106891701828,45.9915611814346,94.0,98.0,65.0492264416315,83.47398030942335
8,4,221.7666999002991,72.0,72.0,39.18245264207378,38.584247258225325,96.0,90.0,71.08673978065802,77.06879361914257
9,0,256.87756778964666,82.0,78.0,44.94658997534922,51.93097781429745,100.0,96.0,81.59408381265406,88.41413311421529
9,1,260.9264214046823,82.0,76.0,45.986622073578594,56.93979933110368,100.0,98.0,80.60200668896321,87.123745819398
9,2,198.3654390934844,62.0,54.0,36.756373937677054,45.609065155807365,96.0,92.0,67.56373937677054,76.77053824362606
9,3,235.84810126582278,74.0,84.0,32.419127988748244,45.42897327707454,94.0,98.0,64.41631504922644,82.84106891701829
9,4,221.36789631106677,72.0,72.0,38.2851445663011,39.0827517447657,96.0,90.0,71.08673978065802,76.9690927218345
10,0,254.54889071487264,80.0,78.0,44.45357436318817,52.09531635168447,100.0,96.0,81.75842235004109,88.5784716516023
