round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
0,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
0,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
0,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
0,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
1,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
1,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
1,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
1,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
1,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
0,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
0,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
0,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
0,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
0,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
1,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
1,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
1,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
1,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
1,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
0,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
0,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
0,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
0,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
0,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
1,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
1,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
1,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
1,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
1,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
2,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
2,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
2,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
2,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
2,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
3,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
3,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
3,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
3,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
3,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
4,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
4,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
4,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
4,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
4,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
5,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
5,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
5,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
5,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
5,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
6,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
6,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
6,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
6,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
6,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
7,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
7,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
7,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
7,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
7,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
8,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
8,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
8,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
8,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
8,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
9,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
9,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
9,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
9,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
9,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
10,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
10,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
10,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
10,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
10,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
0,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
0,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
0,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
0,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
0,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
1,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
1,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
1,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
1,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
1,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
2,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
2,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
2,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
2,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
2,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
3,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
3,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
3,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
3,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
3,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
4,0,69.14379622021364,22.0,22.0,12.57189811010682,12.57189811010682,74.0,74.0,42.15283483976992,42.15283483976992
4,1,61.23745819397993,20.0,20.0,10.618729096989966,10.618729096989966,68.0,68.0,41.38795986622073,41.38795986622073
4,2,65.03682719546742,18.0,18.0,14.51841359773371,14.51841359773371,80.0,80.0,37.18130311614731,37.18130311614731
4,3,60.75386779184248,18.0,18.0,12.376933895921237,12.376933895921237,78.0,78.0,47.257383966244724,47.257383966244724
4,4,38.54436689930209,10.0,10.0,9.272183449651047,9.272183449651047,64.0,64.0,28.11565304087737,28.11565304087737
