round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,0,76.45850451930978,24.0,26.0,9.695973705834017,16.76253081347576,72.0,74.0,29.170090386195564,34.59326211996713
0,1,58.07357859531773,22.0,14.0,6.521739130434782,15.551839464882944,70.0,74.0,39.54849498327759,42.05685618729097
0,2,83.28611898016996,28.0,22.0,11.685552407932011,21.60056657223796,74.0,74.0,49.71671388101983,57.08215297450425
0,3,62.98734177215189,22.0,22.0,7.243319268635724,11.744022503516174,76.0,80.0,33.755274261603375,43.38959212376934
0,4,53.048853439680954,10.0,26.0,6.4805583250249255,10.568295114656031,72.0,64.0,20.638085742771686,21.93419740777667
1,0,86.40427280197206,38.0,24.0,11.585866885784716,12.818405916187347,78.0,82.0,38.044371405094495,40.016433853738704
1,1,81.36789297658862,26.0,20.0,17.892976588628763,17.474916387959865,82.0,84.0,38.54515050167224,44.98327759197324
1,2,82.80736543909347,20.0,32.0,12.889518413597735,17.91784702549575,74.0,78.0,42.28045325779037,49.57507082152974
1,3,106.66947960618847,38.0,34.0,16.877637130801688,17.79184247538678,88.0,80.0,37.41209563994374,51.89873417721519
1,4,88.42671984047857,32.0,32.0,14.15752741774676,10.269192422731805,78.0,78.0,35.094715852442675,46.560319042871384
2,0,109.77321281840591,52.0,30.0,16.269515201314707,11.503697617091207,92.0,86.0,50.28759244042728,45.11092851273624
2,1,109.77926421404683,38.0,38.0,20.48494983277592,13.294314381270903,96.0,90.0,55.936454849498325,54.264214046822744
2,2,82.54107648725213,30.0,24.0,14.80169971671388,13.739376770538243,80.0,66.0,32.01133144475921,53.47025495750708
2,3,84.09001406469761,28.0,30.0,10.548523206751055,15.541490857946554,84.0,88.0,28.19971870604782,49.648382559774966
2,4,84.61415752741775,34.0,22.0,15.254237288135593,13.359920239282154,84.0,76.0,49.55134596211366,40.37886340977069
3,0,118.1544782251438,40.0,42.0,21.52834839769926,14.626129827444537,92.0,84.0,51.27362366474939,50.69843878389482
3,1,121.90301003344482,44.0,32.0,26.08695652173913,19.816053511705686,90.0,80.0,58.779264214046826,53.26086956521739
3,2,76.92917847025495,28.0,24.0,10.26912181303116,14.660056657223796,88.0,74.0,24.07932011331445,50.35410764872521
3,3,108.60759493670886,38.0,32.0,18.565400843881857,20.042194092827003,90.0,88.0,52.60196905766526,55.344585091420534
3,4,82.02193419740779,36.0,20.0,13.359920239282154,12.662013958125623,88.0,74.0,43.070787637088735,36.49052841475573
4,0,125.442892358258,46.0,46.0,20.29580936729663,13.14708299096138,96.0,84.0,55.62859490550534,44.7000821692687
4,1,121.21404682274246,44.0,38.0,21.321070234113712,17.892976588628763,96.0,92.0,56.77257525083612,56.52173913043478
4,2,99.4985835694051,38.0,28.0,16.926345609065155,16.572237960339944,80.0,72.0,40.36827195467422,51.62889518413598
4,3,121.0210970464135,44.0,42.0,20.39381153305204,14.627285513361462,90.0,90.0,56.18846694796062,54.50070323488045
4,4,93.00697906281157,36.0,26.0,16.949152542372882,14.057826520438685,84.0,78.0,45.363908275174474,49.35194416749751
5,0,127.00246507806081,42.0,44.0,21.774856203779787,19.227608874281017,96.0,94.0,58.34018077239113,57.18981101068201
5,1,140.7190635451505,56.0,44.0,20.234113712374583,20.48494983277592,92.0,94.0,51.50501672240803,58.94648829431438
5,2,101.30311614730877,36.0,34.0,15.93484419263456,15.36827195467422,84.0,78.0,40.36827195467422,42.35127478753541
5,3,136.1153305203938,44.0,54.0,20.81575246132208,17.29957805907173,90.0,90.0,50.773558368495074,57.24331926863572
5,4,122.87736789631107,44.0,38.0,17.148554336989033,23.728813559322035,84.0,78.0,44.16749750747757,56.929212362911265
6,0,130.61955628594905,46.0,46.0,19.227608874281017,19.391947411668035,94.0,96.0,52.09531635168447,57.84716516023008
6,1,118.44147157190636,42.0,44.0,16.387959866220736,16.05351170568562,84.0,88.0,49.331103678929765,53.26086956521739
6,2,106.59773371104815,38.0,30.0,14.660056657223796,23.937677053824363,84.0,80.0,43.90934844192635,55.240793201133144
6,3,137.21800281293952,38.0,54.0,20.253164556962027,24.964838255977497,90.0,94.0,56.118143459915615,63.43178621659634
6,4,120.48454636091724,48.0,34.0,21.236291126620138,17.24825523429711,90.0,82.0,49.95014955134596,58.125623130608176
7,0,133.0304026294166,46.0,48.0,20.788824979457683,18.241577649958916,100.0,94.0,58.58668857847165,58.17584223500411
7,1,133.5752508361204,46.0,40.0,20.48494983277592,27.090301003344482,86.0,92.0,52.591973244147155,65.13377926421404
7,2,100.18696883852692,38.0,34.0,14.589235127478753,13.597733711048159,82.0,88.0,34.34844192634561,44.475920679886684
7,3,140.154711673699,48.0,52.0,19.12798874824191,21.026722925457104,94.0,90.0,53.72714486638537,57.10267229254571
7,4,118.2851445663011,40.0,40.0,18.44466600199402,19.84047856430708,86.0,84.0,47.85643070787637,62.612163509471586
8,0,141.63023829087922,42.0,50.0,24.48644207066557,25.14379622021364,92.0,90.0,61.298274445357436,65.7354149548069
8,1,139.32441471571906,48.0,44.0,25.585284280936456,21.73913043478261,90.0,90.0,58.61204013377927,59.94983277591973
8,2,115.3201133144476,46.0,40.0,15.226628895184136,14.093484419263456,78.0,90.0,42.63456090651558,50.920679886685555
8,3,154.9985935302391,62.0,52.0,20.81575246132208,20.182841068917018,96.0,94.0,58.36849507735584,65.54149085794656
8,4,125.78065802592222,42.0,44.0,17.846460618145564,21.93419740777667,92.0,84.0,51.046859421734794,57.6271186440678
9,0,157.19309778142974,54.0,58.0,22.67871815940838,22.514379622021362,94.0,92.0,64.00986031224322,63.8455217748562
9,1,128.33444816053512,36.0,42.0,21.989966555183948,28.34448160535117,90.0,98.0,52.424749163879596,69.56521739130434
9,2,111.53541076487252,38.0,36.0,20.113314447592067,17.422096317280452,88.0,82.0,50.63739376770538,51.77053824362606
9,3,172.24191279887484,70.0,54.0,23.769338959212376,24.47257383966245,94.0,94.0,54.219409282700425,64.41631504922644
9,4,131.56331006979062,42.0,44.0,19.641076769690926,25.922233300099702,90.0,82.0,49.35194416749751,63.70887337986042
10,0,135.05669679539852,52.0,40.0,21.281840591618735,21.774856203779787,94.0,96.0,65.8175842235004,59.90139687756779
10,1,144.0769230769231,50.0,46.0,22.5752508361204,25.501672240802677,90.0,86.0,58.36120401337793,59.69899665551839
10,2,104.26062322946176,36.0,32.0,20.96317280453258,15.297450424929178,86.0,80.0,42.563739376770535,55.87818696883853
10,3,150.09282700421943,48.0,58.0,22.0112517580872,22.081575246132207,94.0,96.0,56.258790436005626,65.82278481012658
10,4,125.87437686939182,44.0,40.0,21.93419740777667,19.940179461615156,92.0,94.0,52.84147557328016,56.43070787637089
11,0,157.57764995891537,56.0,60.0,19.80279375513558,21.774856203779787,96.0,90.0,62.44864420706656,60.72308956450288
11,1,148.27090301003344,50.0,42.0,26.254180602006688,30.016722408026755,90.0,88.0,60.702341137123746,66.72240802675586
11,2,108.91501416430594,36.0,38.0,19.05099150141643,15.864022662889518,80.0,88.0,36.685552407932015,52.97450424929178
11,3,146.9367088607595,50.0,52.0,24.47257383966245,20.464135021097047,94.0,98.0,58.36849507735584,63.22081575246132
11,4,122.95912263210369,40.0,36.0,23.030907278165504,23.928215353938185,92.0,90.0,53.83848454636092,62.51246261216351
12,0,166.89071487263763,60.0,58.0,23.171733771569432,25.718981101068202,94.0,94.0,64.33853738701725,63.023829087921115
12,1,150.68227424749165,46.0,50.0,22.65886287625418,32.02341137123746,92.0,94.0,55.2675585284281,70.90301003344482
12,2,115.39093484419263,48.0,38.0,18.413597733711047,10.977337110481587,84.0,88.0,41.9971671388102,43.05949008498584
12,3,146.1631504922644,56.0,46.0,20.182841068917018,23.980309423347396,90.0,90.0,53.23488045007032,64.9085794655415
12,4,143.96211365902292,54.0,44.0,23.230309072781655,22.731804586241275,88.0,86.0,53.240279162512465,56.929212362911265
